method_id	label	run_status	exact_path_check	segments	links	paths	path_steps	segment_bp	singleton_bp	spelled_path_bp	path_replay_compression_ratio	node_coverage_mean	bp_weighted_coverage	path_depth_median	path_depth_p95	path_depth_max	path_white_space_bp_p99	path_white_space_bp_max	path_white_space_bridges_ge_threshold	link_jump_p99	link_jump_max	path_jump_p99	path_jump_max	direct_self_loop_edges	adjacent_same_node_path_steps	duplicate_sequence_frac	local_repeat_context_nodes	local_repeat_context_occurrences	povu_sites	povu_leaf_sites	runtime_wall	max_rss_kb	exit_status	gfa_path	graph_report_tsv	png_url	gfa_zst_url
syng_k311_seed_repro	SYNG k311 seed reproduction	pass	not_run	7346	10093	465	2865437	253140	5925	106689474	421.464304	390.067656	421.464304	461	931	16043	199	36423	5958	11	2012	5	2012	0	0	0.661312	615	1036	2677	2584	3:18.19	8716128	0	/home/erikg/impg/data/validate_current_c4_latest/sorted/c4.k311.seed.repro.Ygs.gfa	/home/erikg/impg/data/validate_current_c4_latest/reports/c4.k311.seed.repro.Ygs.graph-report.tsv	http://hypervolu.me/~erik/impg/c4.validate-current-c4.k311.seed.repro.Ygs.png	http://hypervolu.me/~erik/impg/c4.validate-current-c4.k311.seed.repro.gfa.zst
syng_k311_poa1kb_repro	SYNG k311 + POA 1kb reproduction	pass	pass_vs_seed	8142	10963	465	3065010	258628	7492	106689474	412.520972	376.444363	412.520972	461	931	16043	160	25248	4900	8	1130	6	1130	0	0	0.720216	665	1111	2853	2608	0:33.07	2200168	0	/home/erikg/impg/data/validate_current_c4_latest/sorted/c4.k311.poa1kb.repro.Ygs.gfa	/home/erikg/impg/data/validate_current_c4_latest/reports/c4.k311.poa1kb.repro.Ygs.graph-report.tsv	http://hypervolu.me/~erik/impg/c4.validate-current-c4.k311.poa1kb.repro.Ygs.png	http://hypervolu.me/~erik/impg/c4.validate-current-c4.k311.poa1kb.repro.gfa.zst
pggb_control_20260526	PGGB/SmoothXG-style control	preexisting_control	name_mismatch_vs_syng_seed	13288	16240	465	5538879	234524	2890	106689474	454.919215	416.833158	454.919215	465	931	7079	16	73181	22851	5	3488	5	3488	1	51	0.805689	729	1175	2870	2833	13:37.90	64330340	0	/home/erikg/impg/data/c4_pggb_control_20260526T025439Z/pggb.Ygs.gfa	/home/erikg/impg/data/validate_current_c4_latest/reports/pggb.Ygs.graph-report.tsv	http://hypervolu.me/~erik/impg/c4.validate-current-c4.pggb-control.Ygs.png	not_applicable
