control	class	target_status	exact_path_validation	paths	segments	links	path_steps	total_segment_bp	node_coverage_bp_weighted_mean	singleton_bp	sparse_coverage_segment_bp	segment_white_space_bp_fraction	segment_white_space_bp_total	path_white_space_bp_p99	path_white_space_bp_max	path_white_space_bridges_ge_threshold	direct_self_loop_edges	adjacent_same_node_path_steps	adjacent_same_step_path_steps	povu_sites	povu_leaf_sites	graph_report_tsv	png_url
current_53kb_pggb	current_impg_gfa_pggb	corrected_optimization_target	pass_466_expected_466_observed_0_mismatch	466	7252	8751	3575249	89353	594.643515	525	4691	0.063563	2646685	3	33593	3102	0	0	0	1618	1603	/home/erikg/impg/data/c4_control_provenance_20260610T154843Z/reports/current_53kb_pggb.C4_GRCh38_53kb.Ygs.graph-report.tsv	http://hypervolu.me/~erik/impg/c4-control-provenance-current-53kb-pggb-20260610T154843Z.Ygs.gfalook-m.png
current_53kb_syng_local	current_impg_gfa_syng_local	current_reference_not_target	pass_6617_expected_6617_observed_0_mismatch	6617	5594	2397	858019	6522327	4.016267	6483157	6522327	0.999393	43132054664	18	33926	703	0	0	0	0	0	/home/erikg/impg/data/c4_control_provenance_20260610T154843Z/reports/current_53kb_syng_local.C4_GRCh38_53kb.Ygs.graph-report.tsv	http://hypervolu.me/~erik/impg/c4-control-provenance-current-53kb-syng-local-20260610T154843Z.Ygs.gfalook-m.png
