trial	variant_kind	method_settings	status	exact_path_validation	expected_paths	observed_paths	missing_paths	extra_paths	spelling_mismatches	runtime_wall	runtime_max_rss_kb	runtime_exit_status	raw_paf_records	filtered_paf_records	final_paf_records	resolved_replacements	bailed_replacements	candidates_seen	rounds	paths	segments	links	path_steps	total_segment_bp	node_coverage_bp_weighted_mean	singleton_bp	sparse_coverage_segment_bp	segment_white_space_bp_fraction	segment_white_space_bp_total	path_white_space_bp_p99	path_white_space_bp_max	path_white_space_bridges_ge_threshold	direct_self_loop_edges	adjacent_same_node_path_steps	povu_sites	povu_leaf_sites	left_suspect_fixed_count	left_suspect_extended_count	left_suspect_still_late_count	left_suspect_missing_count	gfa	sorted_gfa	source_gfa	graph_report_tsv	compare_stdout	compare_stderr	png_url	command
control_current_pggb	control	current impg PGGB-style control; no construction rerun	ok	pass	466	466	0	0	0			0	541784	538569	538569					466	7252	8751	3575249	89353	594.643515	525	4691	0.063563	2646685	3	33593	3102	0	0	1618	1603	0	0	10	0	/home/erikg/impg/data/c4_control_provenance_20260610T154843Z/graphs/current_53kb_pggb/C4_GRCh38_53kb.gfa	/home/erikg/impg/data/c4_control_provenance_20260610T154843Z/sorted/current_53kb_pggb.C4_GRCh38_53kb.Ygs.gfa	/home/erikg/impg/data/c4_control_provenance_20260610T154843Z/validation/current_53kb_pggb.source.gfa	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/reports/control_current_pggb.graph-report.tsv	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/logs/control_current_pggb.compare_gfa_paths.stdout.log	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/logs/control_current_pggb.compare_gfa_paths.stderr.log		pre-existing control graph
q_seed_sensitive_pggb	query-pggb	pggb query with high-copy seed drop disabled and 3-walk seeds for left-edge sensitivity	ok	pass	466	466	0	0	0	8:23.88	49983168	0	542071	538859	538859					466	7214	8714	3522596	89215	598.953012	513	4601	0.055115	2291342	3	33621	4043	0	0	1591	1575	10	0	0	0	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/graphs/q_seed_sensitive_pggb/C4_GRCh38_53kb.gfa	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/sorted/q_seed_sensitive_pggb.Ygs.gfa	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/validation/q_seed_sensitive_pggb.source.gfa	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/reports/q_seed_sensitive_pggb.graph-report.tsv	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/logs/q_seed_sensitive_pggb.compare_gfa_paths.stdout.log	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/logs/q_seed_sensitive_pggb.compare_gfa_paths.stderr.log		/home/erikg/impg/target/release/impg query -a /home/erikg/hprcv2/HPRC_r2_assemblies_0.6.1.syng -b /home/erikg/impg/data/c4_control_provenance_20260610T154843Z/c4_53kb.bed -d 100k --sequence-files /home/erikg/hprcv2/HPRC_r2_assemblies_0.6.1.agc --debug-dir /home/erikg/impg/data/c4_graph_quality_20260611T1323Z/debug/q_seed_sensitive_pggb_query --syng-seed-drop-top-fraction 0 --syng-seed-walk-anchors 3 -o gfa:pggb -O /home/erikg/impg/data/c4_graph_quality_20260611T1323Z/graphs/q_seed_sensitive_pggb -t 16 -v 1
q_boundary_wide_pggb	query-pggb	pggb query with 1kb syng padding and 5kb source-side/boundary extension	ok	pass	466	466	0	0	0	7:34.09	48811524	0	539802	526282	526282					466	4780	5961	2338621	57962	664.089800	403	5034	0.089077	2405994	12	33607	6279	0	0	1248	1231	4	6	6	0	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/graphs/q_boundary_wide_pggb/C4_GRCh38_53kb.gfa	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/sorted/q_boundary_wide_pggb.Ygs.gfa	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/validation/q_boundary_wide_pggb.source.gfa	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/reports/q_boundary_wide_pggb.graph-report.tsv	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/logs/q_boundary_wide_pggb.compare_gfa_paths.stdout.log	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/logs/q_boundary_wide_pggb.compare_gfa_paths.stderr.log		/home/erikg/impg/target/release/impg query -a /home/erikg/hprcv2/HPRC_r2_assemblies_0.6.1.syng -b /home/erikg/impg/data/c4_control_provenance_20260610T154843Z/c4_53kb.bed -d 100k --sequence-files /home/erikg/hprcv2/HPRC_r2_assemblies_0.6.1.agc --debug-dir /home/erikg/impg/data/c4_graph_quality_20260611T1323Z/debug/q_boundary_wide_pggb_query --syng-padding 1000 --syng-extension 5000 --syng-extend-budget 5000 -o gfa:pggb -O /home/erikg/impg/data/c4_graph_quality_20260611T1323Z/graphs/q_boundary_wide_pggb -t 16 -v 1
crush_coverage_repeat_aware	post-control-crush	occurrence-aware coverage multi-bubble windows with repeat-aware boundaries	ok	pass	466	466	0	0	0	9:46.21	6402540	0				207	82	384	2	466	7707	9682	4200535	90711	585.741332	584	7735	0.098803	4176552	65	36492	12319	0	0	1665	1589	0	0	10	0	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/graphs/crush_coverage_repeat_aware.gfa	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/sorted/crush_coverage_repeat_aware.Ygs.gfa	/home/erikg/impg/data/c4_control_provenance_20260610T154843Z/validation/current_53kb_pggb.source.gfa	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/reports/crush_coverage_repeat_aware.graph-report.tsv	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/logs/crush_coverage_repeat_aware.compare_gfa_paths.stdout.log	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/logs/crush_coverage_repeat_aware.compare_gfa_paths.stderr.log		/home/erikg/impg/target/release/impg crush --gfa /home/erikg/impg/data/c4_control_provenance_20260610T154843Z/graphs/current_53kb_pggb/C4_GRCh38_53kb.gfa --output /home/erikg/impg/data/c4_graph_quality_20260611T1323Z/graphs/crush_coverage_repeat_aware.gfa -t 16 -v 1 --method coverage-multi-bubble --objective coverage --repeat-aware-boundaries=true --window-mode combined --max-window-sites 12 --max-iterations 2 --candidate-limit 192 --min-match-length off --max-pair-alignments 0 --max-replacement-paf-bytes 0 --sweepga-no-filter=true --polish-rounds 0
crush_motif_local_right	post-control-crush	motif-local right-repeat offshoot windows with explicit flank support	ok	pass	466	466	0	0	0	0:06.33	1397352	0				0	0	0	0	466	7252	8751	3575249	89353	594.643515	525	4691	0.063563	2646685	5	33593	3102	0	0	1618	1603	0	0	10	0	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/graphs/crush_motif_local_right.gfa	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/sorted/crush_motif_local_right.Ygs.gfa	/home/erikg/impg/data/c4_control_provenance_20260610T154843Z/validation/current_53kb_pggb.source.gfa	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/reports/crush_motif_local_right.graph-report.tsv	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/logs/crush_motif_local_right.compare_gfa_paths.stdout.log	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/logs/crush_motif_local_right.compare_gfa_paths.stderr.log		/home/erikg/impg/target/release/impg crush --gfa /home/erikg/impg/data/c4_control_provenance_20260610T154843Z/graphs/current_53kb_pggb/C4_GRCh38_53kb.gfa --output /home/erikg/impg/data/c4_graph_quality_20260611T1323Z/graphs/crush_motif_local_right.gfa -t 16 -v 1 --method motif-local --motif-max-sparse-paths 5 --motif-min-flank-paths 12 --motif-min-order-jump 1k --motif-max-window-bp 10k --max-iterations 2 --polish-rounds 0
crush_outward_guarded	post-control-crush	guarded outward occurrence windows with bounded candidate count and replacement PAF size	ok	pass	466	466	0	0	0	1:39.93	2680988	0				6	0	32	1	466	6054	7485	2948939	92194	576.319305	2223	6285	0.078853	3387716	20	33593	3571	0	0	1615	1602	0	0	10	0	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/graphs/crush_outward_guarded.gfa	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/sorted/crush_outward_guarded.Ygs.gfa	/home/erikg/impg/data/c4_control_provenance_20260610T154843Z/validation/current_53kb_pggb.source.gfa	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/reports/crush_outward_guarded.graph-report.tsv	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/logs/crush_outward_guarded.compare_gfa_paths.stdout.log	/home/erikg/impg/data/c4_graph_quality_20260611T1323Z/logs/crush_outward_guarded.compare_gfa_paths.stderr.log		/usr/bin/time -v -o /home/erikg/impg/data/c4_graph_quality_20260611T1323Z/logs/crush_outward_guarded.post-control-crush.time.txt /usr/bin/timeout 1800s /home/erikg/impg/target/release/impg crush --gfa /home/erikg/impg/data/c4_control_provenance_20260610T154843Z/graphs/current_53kb_pggb/C4_GRCh38_53kb.gfa --output /home/erikg/impg/data/c4_graph_quality_20260611T1323Z/graphs/crush_outward_guarded.gfa -t 16 -v 1 --method iterative-multi-level --window-mode outward --max-window-sites 6 --window-target-bp 8k --candidate-limit 32 --max-iterations 1 --max-pair-alignments 10000 --max-replacement-paf-bytes 67108864 --polish-rounds 0
