trial	variant_kind	method_settings	status	exact_path_validation	expected_paths	observed_paths	missing_paths	extra_paths	spelling_mismatches	runtime_wall	runtime_max_rss_kb	runtime_exit_status	raw_paf_records	filtered_paf_records	final_paf_records	resolved_replacements	bailed_replacements	candidates_seen	rounds	paths	segments	links	path_steps	total_segment_bp	node_coverage_bp_weighted_mean	bp_weighted_cov	singleton_bp	sparse_coverage_segment_bp	segment_white_space_bp_fraction	segment_white_space_bp_total	path_white_space_bp_p99	path_white_space_bp_max	path_white_space_bridges_ge_threshold	direct_self_loop_edges	adjacent_same_node_path_steps	povu_sites	povu_leaf_sites	left_suspect_fixed_count	left_suspect_extended_count	left_suspect_still_late_count	left_suspect_missing_count	gfa	sorted_gfa	source_gfa	graph_report_tsv	compare_stdout	compare_stderr	png_url	command
q_seed_sensitive_pggb	query-pggb	pggb query with high-copy seed drop disabled and 3-walk seeds for left-edge sensitivity	ok	pass	466	466	0	0	0	8:20.32	50084804	0	542071	538859	538859					466	6557	8054	3258201	89237	598.805350	598.805350	511	4615	0.055249	2297508	3	33630	3124	0	0	1592	1573	10	0	0	0	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/graphs/q_seed_sensitive_pggb/C4_GRCh38_53kb.gfa	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/sorted/q_seed_sensitive_pggb.Ygs.gfa	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/validation/q_seed_sensitive_pggb.source.gfa	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/reports/q_seed_sensitive_pggb.graph-report.tsv	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/logs/q_seed_sensitive_pggb.compare_gfa_paths.stdout.log	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/logs/q_seed_sensitive_pggb.compare_gfa_paths.stderr.log	http://hypervolu.me/~erik/impg/c4-graph-quality-q_seed_sensitive_pggb-c4_repeat_filter_sweep_20260612T1508Z.Ygs.gfalook-m.png	/usr/bin/time -v -o /home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/logs/q_seed_sensitive_pggb.query-pggb.time.txt /usr/bin/timeout 5400s /home/erikg/impg/target/release/impg query -a /home/erikg/hprcv2/HPRC_r2_assemblies_0.6.1.syng -b /home/erikg/impg/data/c4_control_provenance_20260610T154843Z/c4_53kb.bed -d 100k --sequence-files /home/erikg/hprcv2/HPRC_r2_assemblies_0.6.1.agc --debug-dir /home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/debug/q_seed_sensitive_pggb_query --syng-seed-drop-top-fraction 0 --syng-seed-walk-anchors 3 -o gfa:pggb -O /home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/graphs/q_seed_sensitive_pggb -t 16 -v 1
q_seed_nm11_sf11_pggb	query-pggb	seed-sensitive pggb plus strict 1:1 mapping-axis and 1:1 scaffold-chain filtering	ok	pass	466	466	0	0	0	8:09.75	49212004	0	542071	359661	359661					466	6738	8233	3224041	89315	598.282405	598.282405	506	4696	0.056021	2331652	2	33637	3097	0	0	1598	1583	10	0	0	0	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/graphs/q_seed_nm11_sf11_pggb/C4_GRCh38_53kb.gfa	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/sorted/q_seed_nm11_sf11_pggb.Ygs.gfa	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/validation/q_seed_nm11_sf11_pggb.source.gfa	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/reports/q_seed_nm11_sf11_pggb.graph-report.tsv	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/logs/q_seed_nm11_sf11_pggb.compare_gfa_paths.stdout.log	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/logs/q_seed_nm11_sf11_pggb.compare_gfa_paths.stderr.log	http://hypervolu.me/~erik/impg/c4-graph-quality-q_seed_nm11_sf11_pggb-c4_repeat_filter_sweep_20260612T1508Z.Ygs.gfalook-m.png	/usr/bin/time -v -o /home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/logs/q_seed_nm11_sf11_pggb.query-pggb.time.txt /usr/bin/timeout 5400s /home/erikg/impg/target/release/impg query -a /home/erikg/hprcv2/HPRC_r2_assemblies_0.6.1.syng -b /home/erikg/impg/data/c4_control_provenance_20260610T154843Z/c4_53kb.bed -d 100k --sequence-files /home/erikg/hprcv2/HPRC_r2_assemblies_0.6.1.agc --debug-dir /home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/debug/q_seed_nm11_sf11_pggb_query --syng-seed-drop-top-fraction 0 --syng-seed-walk-anchors 3 --num-mappings 1:1 --scaffold-filter 1:1 -o gfa:pggb -O /home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/graphs/q_seed_nm11_sf11_pggb -t 16 -v 1
q_seed_nm1many_sf11_pggb	query-pggb	seed-sensitive pggb with one best mapping per query, many per target, and strict 1:1 scaffold filtering	ok	pass	466	466	0	0	0	7:41.73	49576016	0	542071	360900	360900					466	6620	8107	3178895	89334	598.155159	598.155159	507	4692	0.055953	2329297	2	33637	3558	0	0	1593	1578	10	0	0	0	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/graphs/q_seed_nm1many_sf11_pggb/C4_GRCh38_53kb.gfa	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/sorted/q_seed_nm1many_sf11_pggb.Ygs.gfa	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/validation/q_seed_nm1many_sf11_pggb.source.gfa	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/reports/q_seed_nm1many_sf11_pggb.graph-report.tsv	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/logs/q_seed_nm1many_sf11_pggb.compare_gfa_paths.stdout.log	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/logs/q_seed_nm1many_sf11_pggb.compare_gfa_paths.stderr.log	http://hypervolu.me/~erik/impg/c4-graph-quality-q_seed_nm1many_sf11_pggb-c4_repeat_filter_sweep_20260612T1508Z.Ygs.gfalook-m.png	/usr/bin/time -v -o /home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/logs/q_seed_nm1many_sf11_pggb.query-pggb.time.txt /usr/bin/timeout 5400s /home/erikg/impg/target/release/impg query -a /home/erikg/hprcv2/HPRC_r2_assemblies_0.6.1.syng -b /home/erikg/impg/data/c4_control_provenance_20260610T154843Z/c4_53kb.bed -d 100k --sequence-files /home/erikg/hprcv2/HPRC_r2_assemblies_0.6.1.agc --debug-dir /home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/debug/q_seed_nm1many_sf11_pggb_query --syng-seed-drop-top-fraction 0 --syng-seed-walk-anchors 3 --num-mappings 1:many --scaffold-filter 1:1 -o gfa:pggb -O /home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/graphs/q_seed_nm1many_sf11_pggb -t 16 -v 1
q_seed_nm11_sf11_nojump_pggb	query-pggb	seed-sensitive pggb with 1:1 mapping/scaffold filtering and scaffold chaining disabled	ok	pass	466	466	0	0	0	7:55.73	49450980	0	542071	390880	390880					466	6694	8190	3331630	89332	598.168551	598.168551	514	4684	0.055903	2327183	2	33619	3102	0	0	1590	1575	10	0	0	0	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/graphs/q_seed_nm11_sf11_nojump_pggb/C4_GRCh38_53kb.gfa	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/sorted/q_seed_nm11_sf11_nojump_pggb.Ygs.gfa	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/validation/q_seed_nm11_sf11_nojump_pggb.source.gfa	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/reports/q_seed_nm11_sf11_nojump_pggb.graph-report.tsv	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/logs/q_seed_nm11_sf11_nojump_pggb.compare_gfa_paths.stdout.log	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/logs/q_seed_nm11_sf11_nojump_pggb.compare_gfa_paths.stderr.log	http://hypervolu.me/~erik/impg/c4-graph-quality-q_seed_nm11_sf11_nojump_pggb-c4_repeat_filter_sweep_20260612T1508Z.Ygs.gfalook-m.png	/usr/bin/time -v -o /home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/logs/q_seed_nm11_sf11_nojump_pggb.query-pggb.time.txt /usr/bin/timeout 5400s /home/erikg/impg/target/release/impg query -a /home/erikg/hprcv2/HPRC_r2_assemblies_0.6.1.syng -b /home/erikg/impg/data/c4_control_provenance_20260610T154843Z/c4_53kb.bed -d 100k --sequence-files /home/erikg/hprcv2/HPRC_r2_assemblies_0.6.1.agc --debug-dir /home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/debug/q_seed_nm11_sf11_nojump_pggb_query --syng-seed-drop-top-fraction 0 --syng-seed-walk-anchors 3 --num-mappings 1:1 --scaffold-filter 1:1 --scaffold-jump 0 -o gfa:pggb -O /home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/graphs/q_seed_nm11_sf11_nojump_pggb -t 16 -v 1
q_seed_minid98_pggb	query-pggb	seed-sensitive pggb with first-class post-alignment PAF identity filter at 98%	ok	pass	466	466	0	0	0	8:10.25	49953688	0	542071	538728	538728					466	6644	8142	3312315	89226	598.879172	598.879172	507	4611	0.055177	2294233	2	33619	3590	0	0	1594	1575	10	0	0	0	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/graphs/q_seed_minid98_pggb/C4_GRCh38_53kb.gfa	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/sorted/q_seed_minid98_pggb.Ygs.gfa	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/validation/q_seed_minid98_pggb.source.gfa	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/reports/q_seed_minid98_pggb.graph-report.tsv	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/logs/q_seed_minid98_pggb.compare_gfa_paths.stdout.log	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/logs/q_seed_minid98_pggb.compare_gfa_paths.stderr.log	http://hypervolu.me/~erik/impg/c4-graph-quality-q_seed_minid98_pggb-c4_repeat_filter_sweep_20260612T1508Z.Ygs.gfalook-m.png	/usr/bin/time -v -o /home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/logs/q_seed_minid98_pggb.query-pggb.time.txt /usr/bin/timeout 5400s /home/erikg/impg/target/release/impg query -a /home/erikg/hprcv2/HPRC_r2_assemblies_0.6.1.syng -b /home/erikg/impg/data/c4_control_provenance_20260610T154843Z/c4_53kb.bed -d 100k --sequence-files /home/erikg/hprcv2/HPRC_r2_assemblies_0.6.1.agc --debug-dir /home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/debug/q_seed_minid98_pggb_query --syng-seed-drop-top-fraction 0 --syng-seed-walk-anchors 3 --min-aln-identity 0.98 -o gfa:pggb -O /home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/graphs/q_seed_minid98_pggb -t 16 -v 1
q_seed_minid99_pggb	query-pggb	seed-sensitive pggb with first-class post-alignment PAF identity filter at 99%	ok	pass	466	466	0	0	0	8:07.15	50075756	0	542071	537914	537914					466	5994	7481	2845143	93063	574.187303	574.187303	2875	6980	0.078426	3401143	3	33621	2948	0	0	1644	1629	10	0	0	0	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/graphs/q_seed_minid99_pggb/C4_GRCh38_53kb.gfa	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/sorted/q_seed_minid99_pggb.Ygs.gfa	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/validation/q_seed_minid99_pggb.source.gfa	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/reports/q_seed_minid99_pggb.graph-report.tsv	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/logs/q_seed_minid99_pggb.compare_gfa_paths.stdout.log	/home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/logs/q_seed_minid99_pggb.compare_gfa_paths.stderr.log	http://hypervolu.me/~erik/impg/c4-graph-quality-q_seed_minid99_pggb-c4_repeat_filter_sweep_20260612T1508Z.Ygs.gfalook-m.png	/usr/bin/time -v -o /home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/logs/q_seed_minid99_pggb.query-pggb.time.txt /usr/bin/timeout 5400s /home/erikg/impg/target/release/impg query -a /home/erikg/hprcv2/HPRC_r2_assemblies_0.6.1.syng -b /home/erikg/impg/data/c4_control_provenance_20260610T154843Z/c4_53kb.bed -d 100k --sequence-files /home/erikg/hprcv2/HPRC_r2_assemblies_0.6.1.agc --debug-dir /home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/debug/q_seed_minid99_pggb_query --syng-seed-drop-top-fraction 0 --syng-seed-walk-anchors 3 --min-aln-identity 0.99 -o gfa:pggb -O /home/erikg/impg/data/c4_repeat_filter_sweep_20260612T1508Z/graphs/q_seed_minid99_pggb -t 16 -v 1
