name	method	max_median_traversal_len	wall	max_rss_gib	resolved_sites_per_round	resolved_total	segments	links	total_segment_bp	node_coverage_mean	node_coverage_bp_weighted_mean	node_coverage_median	path_depth_median	path_depth_p95	path_depth_max	singleton_bp	segment_white_space_bp_total	path_white_space_bp_p99	path_white_space_bp_max	path_white_space_bridges_ge_threshold	link_jump_p99	link_jump_max	path_jump_p99	path_jump_max	path_count_ok	path_names_match_seed	path_spelling_mismatches_vs_seed	fasta_spelling_mismatches	png_url	recommendation
poa_median100	poa	100	0:33.76	1.81	r1=748/748,r2=597/597,r3=151/151	1496	9079	12339	240589	533.445534	443.451172	464	464	931	161984	4055	20865810	100506	240054	431597	8147	9016	3682	9016	true	true	0	0	https://hypervolu.me/~erik/impg/c4-smallbubble-poa-median100.png	representative/best: identical POA thresholds; safer metrics than POASTA
poa_median500	poa	500	0:34.90	1.82	r1=748/748,r2=597/597,r3=151/151	1496	9079	12339	240589	533.445534	443.451172	464	464	931	161984	4055	20865810	100506	240054	431597	8147	9016	3682	9016	true	true	0	0	https://hypervolu.me/~erik/impg/c4-smallbubble-poa-median500.png	representative/best: identical POA thresholds; safer metrics than POASTA
poa_median1000	poa	1000	0:35.41	1.83	r1=748/748,r2=597/597,r3=151/151	1496	9079	12339	240589	533.445534	443.451172	464	464	931	161984	4055	20865810	100506	240054	431597	8147	9016	3682	9016	true	true	0	0	https://hypervolu.me/~erik/impg/c4-smallbubble-poa-median1000.png	representative/best: identical POA thresholds; safer metrics than POASTA
poa_median2000	poa	2000	0:33.63	1.81	r1=748/748,r2=597/597,r3=151/151	1496	9079	12339	240589	533.445534	443.451172	464	464	931	161984	4055	20865810	100506	240054	431597	8147	9016	3682	9016	true	true	0	0	https://hypervolu.me/~erik/impg/c4-smallbubble-poa-median2000.png	representative/best: identical POA thresholds; safer metrics than POASTA
poasta_median1000	poasta	1000	0:35.67	1.77	r1=748/748,r2=629/629,r3=161/161,r4=3/3	1541	8573	11833	241841	539.459582	441.155445	464	464	931	161984	4114	21447990	103177	241388	432042	7695	8510	3810	8510	true	true	0	0	https://hypervolu.me/~erik/impg/c4-smallbubble-poasta-median1000.png	not preferred: fewer S/L but worse bp-depth and whitespace than POA
poasta_median2500	poasta	2500	0:35.18	1.76	r1=748/748,r2=629/629,r3=161/161,r4=3/3	1541	8573	11833	241841	539.459582	441.155445	464	464	931	161984	4114	21447990	103177	241388	432042	7695	8510	3810	8510	true	true	0	0	https://hypervolu.me/~erik/impg/c4-smallbubble-poasta-median2500.png	not preferred: fewer S/L but worse bp-depth and whitespace than POA
poasta_median5000	poasta	5000	0:34.58	1.78	r1=748/748,r2=629/629,r3=161/161,r4=3/3	1541	8573	11833	241841	539.459582	441.155445	464	464	931	161984	4114	21447990	103177	241388	432042	7695	8510	3810	8510	true	true	0	0	https://hypervolu.me/~erik/impg/c4-smallbubble-poasta-median5000.png	not preferred: fewer S/L but worse bp-depth and whitespace than POA
