name	method	max_median_traversal_len	gfa	sorted_gfa	png	png_remote_name	crush_rc	wall	max_rss_kb	exit_status	resolved_sites_per_round	no_eligible_rounds	resolved_total	bailed_total	candidates_seen	rounds	path_validation_status	path_count	path_count_ok	path_names_match_seed	path_spelling_mismatches_vs_seed	missing_path_names	extra_path_names	fasta_name_set_ok	fasta_spelling_mismatches	graph_report_rc	graph_report_wall	graph_report_max_rss_kb	graph_report_exit_status	segments	links	paths	path_steps	total_segment_bp	node_path_step_visits	node_coverage_mean	node_coverage_bp_weighted_mean	node_coverage_p10	node_coverage_median	node_coverage_p90	singleton_nodes	singleton_bp	high_coverage_threshold	high_coverage_nodes	high_coverage_bp	link_jump_p99	link_jump_max	path_jump_p99	path_jump_max	path_white_space_bp_p99	path_white_space_bp_max	path_white_space_bridges_ge_threshold	segment_white_space_bp_fraction	segment_white_space_bp_total	sparse_coverage_segment_bp	path_depth_median	path_depth_p95	path_depth_max	reused_nodes	duplicate_sequence_frac	local_repeat_context_nodes	local_repeat_context_occurrences	gfasort_rc	gfasort_wall	gfasort_max_rss_kb	gfasort_exit_status	gfalook_rc	gfalook_wall	gfalook_max_rss_kb	gfalook_exit_status	scp_rc	png_url
poa_median100	poa	100	/home/erikg/impg/.wg-worktrees/agent-450/data/c4_threshold_sweep_20260603T154441Z/poa_median100/poa_median100.gfa	/home/erikg/impg/.wg-worktrees/agent-450/data/c4_threshold_sweep_20260603T154441Z/poa_median100/poa_median100.Ygs.gfa	/home/erikg/impg/.wg-worktrees/agent-450/data/c4_threshold_sweep_20260603T154441Z/poa_median100/c4-smallbubble-poa-median100.png	c4-smallbubble-poa-median100.png	0	0:33.76	1898836	0	r1=748/748,r2=597/597,r3=151/151	4	1496	0	1496	3	ok	465	true	true	0			true	0	0	0:09.87	1469584	0	9079	12339	465	4843152	240589	4843152	533.445534	443.451172	1	464	930	979	4055	233	6378	195044	8147	9016	3682	9016	100506	240054	431597	0.186512	20865810	45246	464	931	161984	2050	0.750743	657	1106	0	0:16.93	265152	0	0	0:02.13	200704	0	0	https://hypervolu.me/~erik/impg/c4-smallbubble-poa-median100.png
poa_median500	poa	500	/home/erikg/impg/.wg-worktrees/agent-450/data/c4_threshold_sweep_20260603T154441Z/poa_median500/poa_median500.gfa	/home/erikg/impg/.wg-worktrees/agent-450/data/c4_threshold_sweep_20260603T154441Z/poa_median500/poa_median500.Ygs.gfa	/home/erikg/impg/.wg-worktrees/agent-450/data/c4_threshold_sweep_20260603T154441Z/poa_median500/c4-smallbubble-poa-median500.png	c4-smallbubble-poa-median500.png	0	0:34.90	1904508	0	r1=748/748,r2=597/597,r3=151/151	4	1496	0	1496	3	ok	465	true	true	0			true	0	0	0:09.83	1468848	0	9079	12339	465	4843152	240589	4843152	533.445534	443.451172	1	464	930	979	4055	233	6378	195044	8147	9016	3682	9016	100506	240054	431597	0.186512	20865810	45246	464	931	161984	2050	0.750743	657	1106	0	0:16.72	265152	0	0	0:02.15	200704	0	0	https://hypervolu.me/~erik/impg/c4-smallbubble-poa-median500.png
poa_median1000	poa	1000	/home/erikg/impg/.wg-worktrees/agent-450/data/c4_threshold_sweep_20260603T154441Z/poa_median1000/poa_median1000.gfa	/home/erikg/impg/.wg-worktrees/agent-450/data/c4_threshold_sweep_20260603T154441Z/poa_median1000/poa_median1000.Ygs.gfa	/home/erikg/impg/.wg-worktrees/agent-450/data/c4_threshold_sweep_20260603T154441Z/poa_median1000/c4-smallbubble-poa-median1000.png	c4-smallbubble-poa-median1000.png	0	0:35.41	1923092	0	r1=748/748,r2=597/597,r3=151/151	4	1496	0	1496	3	ok	465	true	true	0			true	0	0	0:10.01	1470860	0	9079	12339	465	4843152	240589	4843152	533.445534	443.451172	1	464	930	979	4055	233	6378	195044	8147	9016	3682	9016	100506	240054	431597	0.186512	20865810	45246	464	931	161984	2050	0.750743	657	1106	0	0:17.21	264220	0	0	0:02.18	200704	0	0	https://hypervolu.me/~erik/impg/c4-smallbubble-poa-median1000.png
poa_median2000	poa	2000	/home/erikg/impg/.wg-worktrees/agent-450/data/c4_threshold_sweep_20260603T154441Z/poa_median2000/poa_median2000.gfa	/home/erikg/impg/.wg-worktrees/agent-450/data/c4_threshold_sweep_20260603T154441Z/poa_median2000/poa_median2000.Ygs.gfa	/home/erikg/impg/.wg-worktrees/agent-450/data/c4_threshold_sweep_20260603T154441Z/poa_median2000/c4-smallbubble-poa-median2000.png	c4-smallbubble-poa-median2000.png	0	0:33.63	1900636	0	r1=748/748,r2=597/597,r3=151/151	4	1496	0	1496	3	ok	465	true	true	0			true	0	0	0:09.82	1471064	0	9079	12339	465	4843152	240589	4843152	533.445534	443.451172	1	464	930	979	4055	233	6378	195044	8147	9016	3682	9016	100506	240054	431597	0.186512	20865810	45246	464	931	161984	2050	0.750743	657	1106	0	0:16.66	264176	0	0	0:02.12	200704	0	0	https://hypervolu.me/~erik/impg/c4-smallbubble-poa-median2000.png
poasta_median1000	poasta	1000	/home/erikg/impg/.wg-worktrees/agent-450/data/c4_threshold_sweep_20260603T154441Z/poasta_median1000/poasta_median1000.gfa	/home/erikg/impg/.wg-worktrees/agent-450/data/c4_threshold_sweep_20260603T154441Z/poasta_median1000/poasta_median1000.Ygs.gfa	/home/erikg/impg/.wg-worktrees/agent-450/data/c4_threshold_sweep_20260603T154441Z/poasta_median1000/c4-smallbubble-poasta-median1000.png	c4-smallbubble-poasta-median1000.png	0	0:35.67	1859092	0	r1=748/748,r2=629/629,r3=161/161,r4=3/3	5	1541	0	1541	4	ok	465	true	true	0			true	0	0	0:10.06	1408704	0	8573	11833	465	4624787	241841	4624787	539.459582	441.155445	1	464	930	978	4114	233	5876	194820	7695	8510	3810	8510	103177	241388	432042	0.190723	21447990	46274	464	931	161984	2050	0.735565	648	1090	0	0:13.97	253600	0	0	0:02.18	196608	0	0	https://hypervolu.me/~erik/impg/c4-smallbubble-poasta-median1000.png
poasta_median2500	poasta	2500	/home/erikg/impg/.wg-worktrees/agent-450/data/c4_threshold_sweep_20260603T154441Z/poasta_median2500/poasta_median2500.gfa	/home/erikg/impg/.wg-worktrees/agent-450/data/c4_threshold_sweep_20260603T154441Z/poasta_median2500/poasta_median2500.Ygs.gfa	/home/erikg/impg/.wg-worktrees/agent-450/data/c4_threshold_sweep_20260603T154441Z/poasta_median2500/c4-smallbubble-poasta-median2500.png	c4-smallbubble-poasta-median2500.png	0	0:35.18	1841556	0	r1=748/748,r2=629/629,r3=161/161,r4=3/3	5	1541	0	1541	4	ok	465	true	true	0			true	0	0	0:09.57	1408400	0	8573	11833	465	4624787	241841	4624787	539.459582	441.155445	1	464	930	978	4114	233	5876	194820	7695	8510	3810	8510	103177	241388	432042	0.190723	21447990	46274	464	931	161984	2050	0.735565	648	1090	0	0:14.59	252484	0	0	0:02.10	196608	0	0	https://hypervolu.me/~erik/impg/c4-smallbubble-poasta-median2500.png
poasta_median5000	poasta	5000	/home/erikg/impg/.wg-worktrees/agent-450/data/c4_threshold_sweep_20260603T154441Z/poasta_median5000/poasta_median5000.gfa	/home/erikg/impg/.wg-worktrees/agent-450/data/c4_threshold_sweep_20260603T154441Z/poasta_median5000/poasta_median5000.Ygs.gfa	/home/erikg/impg/.wg-worktrees/agent-450/data/c4_threshold_sweep_20260603T154441Z/poasta_median5000/c4-smallbubble-poasta-median5000.png	c4-smallbubble-poasta-median5000.png	0	0:34.58	1863728	0	r1=748/748,r2=629/629,r3=161/161,r4=3/3	5	1541	0	1541	4	ok	465	true	true	0			true	0	0	0:09.68	1407116	0	8573	11833	465	4624787	241841	4624787	539.459582	441.155445	1	464	930	978	4114	233	5876	194820	7695	8510	3810	8510	103177	241388	432042	0.190723	21447990	46274	464	931	161984	2050	0.735565	648	1090	0	0:14.84	253076	0	0	0:02.09	196608	0	0	https://hypervolu.me/~erik/impg/c4-smallbubble-poasta-median5000.png
