label	study	trial_id	valid	raw_objective	target_frequency_tv	target_frequency_emd	target_frequency_weighted	target_length_distance	target_length_weighted	target_total_bp_ratio	target_total_bp_excess	target_total_bp_weighted	total_segment_bp	node_coverage_bp_weighted_mean	singleton_bp	paths	segments	path_steps	path_white_space_bp_p99	path_white_space_bp_max	output_gfa	command
crush_local_k63_auto	crush_local_k63_auto	1	True	4069.024261961413	0.9704121461938203	0.3936399312514443	1364.0520774452648	0.8472260963316589	84.72260963316589	85.70764030355264	7567950.0	2117.691007588816	7657292	6.9389	7420333	466	280670	1852885	6664767	7614645	data/c4_cmaes_targetshape_runs/crush_local_k63_auto/trial-000001/output.gfa	/home/erikg/impg/target/release/impg crush -g /home/erikg/impg/data/calibrate_spectrum_driven_20260530T203220Z/c4_default_spectrum/c4-local-syng-k63-spectrum-default.gfa -o data/c4_cmaes_targetshape_runs/crush_local_k63_auto/trial-000001/output.gfa -t 32 --method auto --max-rounds 2 --min-traversal-len 59 --max-traversal-len 118267 --max-median-traversal-len 1100 --max-traversals 706 --polish-rounds 3 --polish-max-traversal-len 6240 --polish-max-median-traversal-len 146 --replacement-flank-bp 6 --auto-poasta-max-len 10064
crush_local_k63_auto	crush_local_k63_auto	2	True	4109.991874498523	0.9725663772022957	0.39371756387921375	1366.2839410815093	0.8519528498881576	85.19528498881576	86.87151619618992	7671933.0	2146.787904904748	7761275	6.845935	7556067	466	286051	1888254	6766375	7718331	data/c4_cmaes_targetshape_runs/crush_local_k63_auto/trial-000002/output.gfa	/home/erikg/impg/target/release/impg crush -g /home/erikg/impg/data/calibrate_spectrum_driven_20260530T203220Z/c4_default_spectrum/c4-local-syng-k63-spectrum-default.gfa -o data/c4_cmaes_targetshape_runs/crush_local_k63_auto/trial-000002/output.gfa -t 32 --method auto --max-rounds 2 --min-traversal-len 698 --max-traversal-len 26373 --max-median-traversal-len 7572 --max-traversals 6004 --polish-rounds 1 --polish-max-traversal-len 38211 --polish-max-median-traversal-len 669 --replacement-flank-bp 12 --auto-poasta-max-len 44496
full_query_syng_local_auto	full_query_syng_local_auto	1	True	3688.98747810327	0.9471906610339745	0.39347070758682806	1340.6613686208027	1.2436181148187593	124.36181148187593	86.99254549931723	7682746.0	2149.813637482931	7772088	6.840622	3913290	466	7284	139940	1806092	6611731	data/c4_cmaes_targetshape_runs/full_query_syng_local_auto/trial-000001/output.gfa	/home/erikg/impg/target/release/impg query -a /home/erikg/hprcv2/HPRC_r2_assemblies_0.6.1.syng -d 100k -r GRCh38#0#chr6:31982056-32035418 --sequence-files /home/erikg/hprcv2/HPRC_r2_assemblies_0.6.1.agc -o gfa:syng-local:blunt,k=163,s=22,seed=7:mask,top=0.00014658303,max-occ=377,min-run=8,sequence-k=147:crush,method=auto,max-rounds=3,min-traversal-len=2,max-traversal-len=3330,max-median-traversal-len=3330,max-traversals=874,polish-rounds=3,polish-max-traversal-len=11642,polish-max-median-traversal-len=2822,replacement-flank-bp=192,auto-poasta-max-len=1771:sort,pipeline=Ygs -O data/c4_cmaes_targetshape_runs/full_query_syng_local_auto/trial-000001/output -t 32
