scenario	scope	method	path_preservation	resolved	bailed	candidates_seen	wall_time	max_rss_kb	status	failures	warnings	segments	links	paths	path_steps	total_segment_bp	node_coverage_mean	node_coverage_bp_weighted_mean	singleton_nodes	singleton_bp	internal_tips	link_jump_p99	link_jump_max	path_white_space_bp_p99	path_white_space_bp_max	path_white_space_bridges_ge_threshold	duplicate_sequence_frac	local_repeat_context_nodes	local_repeat_context_occurrences	povu_sites	povu_leaf_sites	source
c4_slice_input	small C4 slice 1500-3000	input	input						REVIEW	internal_tips>0,common_start_frac,common_end_frac,path_white_space_bp_p99,link_jump_max_frac	duplicate_sequence_frac,local_repeat_contexts	2942	3319	465	697500	64348	237.083617	236.545114	364	8205	2	2535	2938	33508	64200	36246	0.320530	232	297	313	292	data/evaluate_abpoa_as_20260604T181500Z/c4_slice_input.graph-report.tsv
c4_slice_abpoa	small C4 slice 1500-3000	abpoa explicit	PASS (465 paths)	147	0	147	1:07.77	1360772	REVIEW	internal_tips>0,common_start_frac,common_end_frac,link_jump_p99,link_jump_max_frac	duplicate_sequence_frac,local_repeat_contexts	21529	22150	465	8764488	58031	407.101491	262.294377	604	5113	13	14982	21133	0	55661	20776	0.933485	473	581	546	453	data/evaluate_abpoa_as_20260604T181500Z/c4_slice_abpoa.graph-report.tsv
c4_cap64_diag_spoa2k_poasta15k	referenced c4_cap64_diag_20260604T154104Z run	iterative multi-level auto: spoa<2k, poasta<15k, sweepga	not rechecked here; source diagnostic completed with exact-path gate	23	1	64	4:10.66	4712032	REVIEW	internal_tips>0,common_end_frac,link_jump_max_frac	duplicate_sequence_frac,local_repeat_contexts	7405	10122	465	3619762	242307	488.826739	440.307024	948	2928	3	5	2089	375	40106	5890	0.675219	568	1006	0	0	/home/erikg/impg/data/c4_cap64_diag_20260604T154104Z/reports/multilevel_cap64_spoa2k_poasta15k_r1.graph-report.tsv
